name,games played,minutes,pts,reb,asts,turnover,fgm
BYNUMAN01 ,213,4584,1885,1318,235,269,750
BYNUMWI01 ,72,962,464,87,176,90,177
BYRDWA01  ,22,109,33,25,6,0,14
BYRNEMA01 ,263,4254,1495,586,409,275,585
BYRNETO01 ,265,0,1712,72,311,0,655
BYTZUMI01 ,60,0,210,0,31,0,87
CABARZA01 ,150,1551,640,312,85,119,234
CABLEBA01 ,362,6814,2372,1888,380,0,1012
CAFFEJA01 ,462,9045,3368,2022,402,647,1276
CAGEMI01  ,1140,29716,8278,8646,1057,1161,3317
CALABGE01 ,104,937,492,149,148,0,179
CALDEJO01 ,291,7921,2812,705,1959,480,1082
CALDWAD01 ,197,1603,390,496,33,126,164
CALDWJI01 ,137,3085,968,1052,278,218,390
CALDWJO01 ,468,13874,7127,2367,1257,0,2958
CALDWJO01 ,314,11387,5492,1750,1390,726,2337
