,college,count
298,West New England,1
300,Kentucky State (redshirt),1
307,Northwest Oklahoma,1
310,East New Mexico,1
311,Central State (Ohio),1
312,E. New Mexico State,1
314,No. Texas State,1
315,Los Angeles Baptist,1
579,Ithaca,1
583,Western Maryland,1
584,New Mexico A&M,1
790,None (Mexico),1
795,Huston-Pillotson,1
799,Alderson Broaddus,1
801,McKendress,1
803,Fort Valley,1
804,Azusa,1
805,Concordia,1
806,St. Mary's (Kansas),1
807,SW Oklahoma State,1
810,NE Oklahoma State,1
812,Whittier,1
813,St. Leo's,1
816,New Hampshire College,1
817,LSU/New Orleans,1
818,Delaware Valley,1
819,Columbus College,1
820,Suffolk,1
821,J. C. Smith,1
822,Grant Falls,1
823,Bishop,1
792,Tufts,1
789,Fisk,1
825,Mexico City,1
788,Yankton,1
762,Sacramento State,1
763,Transylvania,1
764,San Fernando Valley State,1
765,Southampton,1
766,Carthage,1
768,Boston State,1
769,LaVerne,1
770,St. John Fisher,1
771,Seattle Pacific,1
772,Riverside,1
773,Shephard,1
774,West Mexico,1
776,Robert Morris JC,1
777,Tougaloo,1
778,Jacksonville (AL),1
780,Acadia,1
782,Fort Valley State,1
783,Windham,1
787,Sul Ross,1
824,Wisconsin State,1
826,Soputhern California,1
760,Grove City,1
864,Pacific (OR),1
